fandom	favourites	stories	color	
Harry Potter	26999695	516251	red		
Twilight	17250906	299814	blue	
Naruto	14264630	160120	green
Hetalia-Axis Powers	2542102	99914	cyan	
Inuyasha	2712687	89630	lime
Supernatural	2348026	88786	gold
Glee	3884853	83432	red
Pokemon	1312710	73903	beige
Bleach	2293442	69373	olive
Kingdom Hearts	898332	59198	darkorange
Percy Jackson and the Olympians	2146844	55600	magenta
Yu-Gi-Oh	981892	55140	purple
Fairy Tail	2305207	50747	thistle
Sherlock	1554759	47584	grey
Lord of the Rings	685158	47192	teal
Doctor Who	871583	43425	navy
Dragon Ball Z	702958	40788	fuchsia
Fullmetal Alchemist	845723	39469	silver
Digimon	387779	38906	maroon
Once Upon a Time	1585840	37894	yellow
Hunger Games	977575	36477	darkblue
Gundam Wing/AC	232433	36203	steelblue
Screenplays	1111046	35559	pink
Buffy: The Vampire Slayer	418610	34838	firebrick
Sailor Moon	625920	34407	black